"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"clan/closed_for_new_req";"This Squadron is closed to new membership applications.";"Cet escadron est fermé aux nouvelles demandes d'adhésion.";"Questo squadrone non accetta nuove richieste di arruolamento.";"Diese Kampfgruppe akzeptiert zur Zeit keine Mitgliedsanträge.";"Este escuadrón está cerrado para nuevas solicitudes de membresía.";"Приём заявок на вступление в полк закрыт.";"Dywizjon ten jest zamknięty dla nowych członków.";"Este esquadrão está fechado para novos pedidos de adesão.";"Bu filo yeni üyelik başvurularına kapalı.";"이 비행대는 신규 전입 신청을 받지 않고 있습니다.";"已\t关\t闭\t入\t队\t申\t请。";"この\t部隊では\t新たな\t入隊希望者は\t現在募集していません。";"聯\t隊\t關\t閉\t入\t隊\t申\t請。";;
"clan/open_close_new_req";"Open/close this Squadron to new membership applications.";"Ouvrir/fermer cet Escadron aux nouvelles demandes d'adhésion.";"Apri/Chiudi questa Squadriglia a nuove richieste di arruolamento.";"Kampfgruppe für neue Bewerbungen öffnen/schließen.";"Abrir/cerrar este escuadrón a nuevas solicitudes de membresía.";"Открыть/закрыть приём заявок на вступление в полк.";"Otwórz/Zamknij ten dywizjon dla nowych wniosków o członkostwo.";"Abrir/fechar este esquadrão para novos pedidos de adesão.";"Filo için yeni üyelik başvurularını aç/kapat.";"비행대가 신규 전입 신청을 받을 것인지 결정합니다.";"开\t放\t/\t关\t闭\t入\t队\t申\t请";"この\t部隊の\t入隊希望者への\t受付を\t変更します。";"聯\t隊\t開\t放\t/\t關\t閉\t入\t隊\t申\t請。";;
"clan/opened";"opened";"ouvert";"aperto";"geöffnet";"abierto";"открыт";"otwarto";"aberto";"açıldı";"모집 중";"接\t受";"オープン";"開\t啟";;
"clan/closed";"closed";"fermé";"chiuso";"geschlossen";"cerrado";"закрыт";"zamknięto";"fechado";"kapandı";"모집 안함";"拒\t绝";"クローズド";"關\t閉";;
"clan/leader/cant_change_my_role";"You cannot change your grade in the Squadron until you are the only commander.";"Vous ne pouvez pas modifier votre grade dans l'Escadron tant que vous êtes le seul commandant.";"Non puoi cambiare il tuo grado nello Squadriglia finché sei l'unico comandante.";"Du kannst den eigenen Rang in der Kampfgruppe nur dann ändern, wenn du der einzige Kommandant bist.";"No puedes cambiar tu rango en el escuadrón ya que eres el único comandante.";"Вы не можете изменить своё звание, пока в полке нет другого командира.";"Nie możesz zmienić własnej rangi w dywizjonie, dopóki jesteś jedynym dowódcą.";"Não pode mudar o seu cargo no esquadrão pois é o único comandante.";"Filo Komutanı olmadığınız sürece filo içindeki kademenizi değiştiremezsiniz.";"자신이 대대장일 때에만 자신의 계급을 바꿀 수 있습니다.";"当\t且\t仅\t当\t你\t是\t唯\t一\t的\t联\t队\t指\t挥\t官\t时\t才\t能\t修\t改\t自\t己\t的\t军\t阶。";"部隊の\t階級変更は\t隊長のみ\t可能です。";"當\t你\t是\t唯\t一\t的\t聯\t隊\t指\t揮\t官\t時\t才\t能\t修\t改\t自\t己\t的\t軍\t階";;
"clan/shortArcadeBattle";"AB";"AB";"AB";"AS";"BA";"АБ";"BZ";"BA";"BS";"아케이드";"街\t机";"AB";"街\t機";;
"clan/shortHistoricalBattle";"RB";"RB";"RB";"RS";"BR";"РБ";"BR";"BR";"GS";"리얼리스틱";"历\t史";"RB";"歷\t史";;
"clan/shortFullRealBattles";"SB";"SB";"SB";"SS";"SB";"СБ";"BS";"BS";"SS";"시뮬레이터";"全\t真";"SB";"全\t真";;
"clan/log/create_log";"Squadron creation";"Création d'escadron";"Creazione Squadriglia";"Kampfgruppen-Aufstellung";"Creación de Escuadrón";"Создание полка";"Utworzenie Dywizjonu";"Criação de Esquadrão";"Filo oluşturma";"비행대 창설";"创\t建\t联\t队";"部隊作成";"創\t建\t聯\t隊";;
"clan/log/upgrade_log";"Squadron upgrade";"Mise à niveau d'escadron";"Aggiornamento Squadriglia";"Kampfgruppen-Aufstufung";"Mejoras al Escuadrón";"Улучшение полка";"Rozszerzenie Dywizjonu";"Melhoria do esquadrão";"Filo yükseltmesi";"비행대 승격";"升\t级\t联\t队";"部隊の\tアップグレード";"升\t級\t聯\t隊";;
"clan/log/add_new_member_log";"Player {nick} was added to the Squadron";"Le joueur {nick} a été admis dans l'escadron";"Il giocatore {nick} è stato aggiunto alla Squadriglia";"Spieler {nick} wurde in die Kampfgruppe aufgenommen";"El jugador {nick} ha sido incorporado al Escuadrón";"Игрок {nick} был принят в полк";"Gracz {nick} dołączył do Dywizjonu";"Jogador {nick} foi aceito no clã";"{nick} oyuncusu filoya eklendi";"{nick}(이)가 비행대에 새로 전입하였습니다.";"{nick} 已\t加\t入\t联\t队";"プレイヤー: {nick} が\t部隊に\t参加しました";"玩\t家 {nick} 已\t經\t加\t入\t聯\t隊";;
"clan/log/remove_member_log";"Player {nick} was removed from the Squadron";"Le joueur {nick} a été exclus de l'escadron";"Il giocatore {nick} è stato espulso dalla Squadriglia";"Spieler {nick} wurde der Kampfgruppe verwiesen";"El jugador {nick} ha dejado el Escuadrón";"Игрок {nick} был исключен из полка";"Gracz {nick} został wykluczony z Dywizjonu";"Jogador {nick} foi excluído do clã";"{nick} oyuncusu filodan çıkarıldı";"{nick}(이)가 비행대에서 전출되었습니다.";"{nick} 被\t移\t出\t联\t队";"プレイヤー: {nick} が\t部隊から\t去りました";"玩\t家 {nick} 已\t經\t被\t踢\t出\t聯\t隊";;
"clan/log/leave_member_log";"Player {nick} has left the Squadron";"Le joueur {nick} a quitté l'escadron";"Il giocatore {nick} ha lasciato la Squadriglia";"Spieler {nick} hat die Kampfgruppe verlassen";"El jugador {nick} ha dejado el Escuadrón";"Игрок {nick} покинул полк";"Gracz {nick} opuścił Dywizjon";"Jogador {nick} saiu do clã";"{nick} oyuncusu filodan çıktı";"플레이어 {nick} 이(가) 비행대를 떠남";"{nick} 退\t出\t了\t联\t队";"プレイヤー: {nick} が\t部隊から\t去りました";"玩\t家 {nick} 退\t出\t了\t聯\t隊";;
"clan/log/change_role_log";"Squadron member {nick}'s role was changed to {role}";"Le rôle du joueur {nick} a changé : {role}";"Il ruolo del membro di Squadriglia {nick} è stato cambiato in {role}";"Die Kampfgruppen-Rolle des Spielers {nick} wurde auf {role} geändert";"El rol del miembro del escuadrón {nick} fue cambiado a {role}";"Звание члена полка {nick} изменено на {role}";"Status członka Dywizjonu {nick} został zmieniony na {role}";"O cargo de {nick} foi alterado para {role}";"{nick} isimli filo üyesinin rolü bu ile değiştirildi: {role}";"{nick}의 직위가 {role}로 변경되었습니다.";"{nick} 的\t军\t阶\t已\t变\t更\t为 {role}";"部隊の\tメンバー {nick} の\t役割が\t変更されました";"聯\t隊\t成\t員 {nick} 的\t職\t稱\t變\t更\t為 {role}";;
"clan/log/change_info_log";"Squadron info was changed";"Le descriptif de l'escadron a été changé";"Le informazioni Squadriglia sono state cambiate";"Die Kampfgruppen-Infos wurden geändert";"Ha cambiado la información del Escuadrón";"Информация о полке была изменена";"Zmieniono informację o Dywizjonie";"Informação do Esquadrão foi atualizada";"Filo bilgisi değiştirildi";"비행대 정보가 변경되었습니다.";"联\t队\t信\t息\t已\t修\t改";"部隊の\t情報が\t変更されました";"聯\t隊\t資\t訊\t已\t經\t修\t改";;
"clan/log/reject_candidate_log";"Player {nick}'s application was rejected";"La candidature du joueur {nick} a été refusée";"La richiesta del giocatore {nick} è stata respinta";"Die Bewerbung von {nick} wurde abgelehnt";"La solicitud del jugador {nick} fue rechazada";"Заявка игрока {nick} на вступление в полк была отклонена";"Odrzucono aplikację gracza {nick}";"Aplicação de jogador {nick} foi rejeitada";"{nick} oyuncusunun başvurusu reddedildi";"플레이어 {nick} 의 참가신청이 거절됨";"玩\t家 {nick} 的\t入\t队\t申\t请\t被\t驳\t回";"プレイヤー {nick}の\t申請が\t却下されました";"玩\t家 {nick} 的\t入\t隊\t申\t請\t被\t駁\t回";;
"clan/log/add_to_blacklist_log";"Player {nick} was added to Squadron Blacklist";"Le joueur {nick} a été ajouté à la liste noire de l'Escadron";"Il giocatore {nick} è stato aggiunto alla lista nera di squadriglia";"{nick} wurde der Blockierliste des Geschwaders hinzugefügt";"Jugador {nick} fue agregado a la lista negra del Escuadrón";"Игрок {nick} был добавлен в чёрный список полка";"Gracz {nick} został dodany do czarnej listy Dywizjonu";"Jogador {nick} foi adicionado à Lista Negra do Esquadrão";"{nick} oyuncusu Filo Kara listesine eklendi";"플레이어 {nick} 이(가) 비행대 차단목록에 추가됨";"玩\t家 {nick} 被\t列\t入\t联\t队\t黑\t名\t单";"部隊\tブラックリストに\tプレイヤー {nick} を\t追加";"玩\t家 {nick} 已\t經\t被\t加\t入\t了\t聯\t隊\t黑\t名\t單";;
"clan/log/remove_from_blacklist_log";"Player {nick} was removed from the Squadron Blacklist";"Le joueur {nick} a été retiré de la liste noire de l'escadron";"Il giocatore {nick} è stato rimosso dalla Lista Nera di Squadriglia";"{nick} wurde von der Blockierliste des Geschwaders entfernt";"Jugador {nick} fue removido de la lista negra del Escuadrón";"Игрок {nick} был удален из чёрного списка полка";"Gracz {nick} został usunięty z czarnej listy Dywizjonu";"Jogador {nick} foi removido da Lista Negra do Esquadrão";"{nick} oyuncusu Filo Kara listesinden çıkarıldı";"플레이어 {nick} 이(가) 비행대 차단목록에서 제거됨";"玩\t家 {nick} 被\t从\t联\t队\t黑\t名\t单\t中\t移\t除";"部隊\tブラックリストから\tプレイヤー {nick} を\t削除";"玩\t家 {nick} 已\t經\t從\t聯\t隊\t黑\t名\t單\t中\t移\t除";;
"clan/log/initiated_by";"by {nick}";"par {nick}";"per {nick}";"von {nick}";"por {nick}";"{nick}";"założony przez {nick}";"por {nick}";"{nick} tarafından";" {nick}에 의해 가입";"（执\t行\t者：\t{nick}）";"{nick} によって";"（執\t行\t者：\t{nick}）";;
"clan/log/initiated_by_admin";"by {nick} in administrator mode";"par {nick} en mode administrateur";"per {nick} in modalità amministratore";"von {nick} im Administratormodus";"por {nick} en modo administrador";"{nick} в режиме администратора";"założony przez {nick} w trybie administratora";"por {nick} em modo de administrador";"admin modundaki {nick} tarafından";"{nick}에 의해 관리자 모드에서 가입";"（管\t理\t员\t模\t式\t执\t行\t者：\t{nick}）";"{nick} によって\t管理者\tモードになりました";"（管\t理\t員\t模\t式\t執\t行\t者：\t{nick}）";;
"clan/log/old_members_role";"Previous grade";"Grade précédent";"Grado precedente";"Bisherige Rolle";"Grado anterior";"Предыдущее звание";"Poprzedni stopień";"Cargo anterior";"Önceki sınıf";"이전 계급";"前\t一\t军\t阶";"以前の\t階級";"之\t前\t的\t軍\t階";;
"clan/log/new_members_role";"New grade";"Nouveau grade";"Nuovo grado";"Neue Rolle";"Nuevo grado de";"Новое звание";"Nowa ranga";"Novo cargo";"Yeni kademe";"새 계급";"新\t军\t阶";"新しい\t階級";"新\t軍\t階";;
"clan/log/upgrade_members_log";"Members limit increased";"Augmentation de la limite de membres";"Limite di membri aumentato";"Maximale Mitgliederzahl erhöht";"Límite de miembros ha aumentado";"Максимальное количество участников увеличено";"Limit członków zwiększony";"Número máximo de membros aumentado";"Üye sınırı arttı";"정원 증가";"已\t提\t升\t成\t员\t上\t限";"メンバー\t上限値を\t増加";"成\t員\t上\t限\t已\t經\t提\t升";;
"clan/log/old_members_limit";"Previous value";"Valeur précédente";"Valore precedente";"Bisheriger Wert";"Valor previo";"Предыдущее значение";"Poprzednia wartość";"Valor anterior";"Önceki değer";"이전 정원";"前\t一\t成\t员\t上\t限";"前の\t値";"之\t前\t成\t員\t數\t量\t上\t限";;
"clan/log/new_members_limit";"New value";"Nouvelle valeur";"Nuovo valore";"Neuer Wert";"Nuevo valor";"Новое значение";"Nowa wartość";"Novo valor";"Yeni değer";"새로운 정원";"新\t成\t员\t上\t限";"新しい\t値";"新\t成\t員\t數\t量\t上\t限";;
"clan/log/comment";"Comment";"Commentaire";"Commento";"Kommentar";"Comentario";"Комментарий";"Komentarz";"Comentário";"Yorum";"코멘트";"评\t论";"コメント";"評\t論";;
"clan/clan_log";"Squadron log";"Journal de l'Escadron";"Registro Squadriglia";"Kampfgruppen-Protokoll";"Bitácora del Escuadrón";"Полковой журнал";"Dziennik Dywizjonu";"Registro do clã";"Filo günlüğü";"비행대 기록";"联\t队\t日\t志";"部隊\tログ";"聯\t隊\t日\t誌";;
"clan/clan_awards";"Squadron Awards";"Récompense de l’Escadron";"Premi Squadriglia";"Kampfgruppen-Auszeichnungen";"Premios de Escuadrón";"Награды полка";"Nagrody Dywizjonu";"Prêmios de Esquadrão";"Filo ödülleri";"비행대 수훈";"联\t队\t战\t绩";"部隊報酬";"聯\t隊\t戰\t績";;
"clan/clan_awards/hint/favoritesLimit";"No more places in favorites";"Plus de place dans les favoris";"Posti tra i preferiti terminati";"Kein Platz mehr in den Favoriten";"No hay mas espacio en favoritos";"Нет больше места в избранном";"Brak wolnych miejsc w ulubionych";"Sem mais espaço nos favoritos";"Favorilerde daha fazla yer yok";"선호목록에 더 이상 추가할 수 없습니다";"收\t藏\t已\t满";"これ\t以上お\t気に\t入りを\t設定することはできません";"收\t藏\t已\t滿";;
"clan/changeMembershipRequirementsTitle";"Requirements to Candidates";"Prérequis des candidats";"Requisiti per i Candidati";"Anfoderungen für Bewerber";"Requisitos para los candidatos";"Требования к соискателям";"Wymagania wobec kandydatów";"Requerimentos para candidatos";"Adaylar için Gereksinimler";"지원자 요건";"对\t申\t请\t人\t的\t要\t求";"志望者条件";"對\t申\t請\t者\t的\t要\t求";;
"clan/rankReqTank";"Minimal Ground Vehicles Rank";"Rang minimum des véhicules terrestres";"Era unità Terrestri minima";"Mindestrang bei den Landstreitkräften";"Rango mínimo de vehículos terrestres";"Минимальный ранг наземной техники";"Wymagana odblokowana era pojazdów naziemnych";"Nível mínimo de veículos terrestres";"En Düşük Yer Birimleri Seviyesi";"최소 차량 랭크";"最\t低\t陆\t军\t等\t级";"必要最低限地上車両\tランク";"最\t低\t陸\t軍\t階\t級";;
"clan/rankReqAircraft";"Minimal Aerial Vehicles Rank";"Rang minimum des véhicules aériens";"Era Aerei minima";"Mindestrang bei den Luftstreitkräften";"Rango mínimo de vehículos aéreos";"Минимальный ранг авиации";"Wymagana odblokowana era samolotów";"Nível mínimo de veículos aéreos ";"En Düşük Hava Araçları Seviyesi";"최소 항공기 랭크";"最\t低\t空\t军\t等\t级";"必要最低限機体\tランク";"最\t低\t空\t軍\t階\t級";;
"clan/rankConditionType";"Ranks should meet:";"Le rang doit être de :";"L'era deve essere:";"Kriterium:";"Rangos deben cumplir:";"Ранги должны удовлетворять:";"Wymagania:";"Patentes que devem reunir:";"Şu rütbeler karşılanmalıdır:";"필요 랭크:";"等\t级\t要\t求：";"必要\tランク:";"等\t級\t要\t求：";;
"clan/minRankCondType_or";"At least one condition";"Au moins une condition";"Almeno una condizione";"Mindestens eine Anforderung erfüllt";"Al menos una condición";"Хотя бы одному условию";"Co najmniej jeden warunek";"Pelo menos uma condição";"En az bir koşulda";"최소 1개 만족시";"择\t一\t条\t件";"どれか\t1\tつの\t条件";"至\t少\t符\t合\t其\t中\t一\t個\t條\t件";;
"clan/minRankCondTypeTooltip_or";"If several rank conditions are set, a candidate has to meet at least one of them.";"Si plusieurs conditions de rang sont requises, un candidat doit en satisfaire une au minimum.";"Se sono impostate diverse condizioni per le ere, il candidato deve almeno soddisfarne una.";"Sollten mehrere Anforderungen an die freigeschalteten Ränge der Bewerber gestellt werden, muss mindestens eine Anforderung erfüllt werden.";"Si se establecen varias condiciones de rango, el candidato debe cumplir con al menos una de ellas.";"Если установлены несколько требований к рангу техники, то кандидат должен будет иметь нужный ранг хотя бы по одному пункту.";"Gdy ustalono kilka warunków odnośnie ery, kandydat musi spełniać co najmniej jeden z nich.";"Se várias condições de níveis são estabelecidas, o candidato deve cumprir, pelo menos uma delas.";"Eğer birkaç seviye koşulu belirlerseniz, bunlardan en az birini karşılayan bir aday olmalıdır.";"랭크 조건이 여러 개 설정된 경우 지원자는 최소 1개의 조건을 만족해야 합니다.";"若\t同\t时\t设\t置\t了\t多\t个\t条\t件，\t申\t请\t人\t达\t到\t其\t中\t之\t一\t即\t可。";"条件が\t複数設定されていた\t場合、\tその\t内一つを\t満たさなければならない。";"若\t同\t時\t設\t置\t了\t多\t個\t條\t件，\t申\t請\t人\t達\t到\t其\t中\t一\t個\t條\t件\t即\t可";;
"clan/minRankCondType_and";"All conditions";"Toutes les conditions";"Tutte le condizioni";"Alle Anforderungen erfüllt";"Todas las condiciones";"Всем условиям";"Wszystkie warunki";"Todas as condições";"Tüm koşullar";"모든 조건 만족시";"全\t部\t条\t件";"全ての\t条件";"全\t部\t條\t件";;
"clan/minRankCondTypeTooltip_and";"If several rank conditions are set, a candidate has to meet all of them.";"Si plusieurs conditions de rang sont requises, un candidat doit toutes les satisfaire.";"Se sono impostate diverse condizioni per le ere, il candidato deve soddisfarle tutte.";"Sollten mehrere Anforderungen an die freigeschalteten Ränge der Bewerber gestellt werden, müssen alle Anforderungen erfüllt werden.";"Si se establecen condiciones de rango, el candidato debe cumplir con todas ellas.";"Если установлены несколько требований к рангу техники, то кандидат должен будет иметь нужный ранг по всем пунктам.";"Gdy ustalono kilka warunków odnośnie ery, kandydat musi spełniać je wszystkie.";"Se várias condições de patente são estabelecidas, o candidato deve cumprir todas elas.";"Eğer birkaç seviye koşulu belirlerseniz, bunların tümünü karşılayan bir aday olmalıdır.";"랭크 조건이 여러 개 설정된 경우 지원자는 모든 조건을 만족해야 합니다.";"若\t同\t时\t设\t置\t了\t多\t个\t条\t件，\t申\t请\t人\t需\t达\t到\t全\t部\t条\t件。";"条件が\t複数設定されている\t場合、\t全てを\t満たさなければならない。";"若\t同\t時\t設\t置\t了\t多\t個\t條\t件，\t申\t請\t人\t需\t達\t到\t全\t部\t的\t條\t件";;
"clan/battlesSelect_arcade";"Minimum battles [AB]";"Batailles minimum [AB]";"Battaglie minime [AB]";"Mindestanzahl Schlachten [AB]";"Mínimo de batallas [AB]";"Минимальное число боёв [АБ]";"Minimum rozegranych bitew [AB]";"Mínimo de batalhas [AB]";"Asgari Savaşlar [AB]";"최소 전투 수 [AB]";"任\t务\t完\t成\t数\t（街\t机）";"ミニマムバトル[AB]";"任\t務\t完\t成\t數\t（街\t機）";;
"clan/battlesSelect_historical";"Minimum battles [RB]";"Batailles minimum [RB]";"Battaglie minime [RB]";"Mindestanzahl Schlachten [RB]";"Mínimo de batallas [RB]";"Минимальное число боёв [РБ]";"Minimum rozegranych bitew [RB]";"Mínimo de batalhas [RB]";"Asgari Savaşlar [RB]";"최소 전투 수 [RB]";"任\t务\t完\t成\t数\t（历\t史）";"ミニマムバトル[RB]";"任\t務\t完\t成\t數\t（歷\t史）";;
"clan/battlesSelect_simulation";"Minimum battles [SB]";"Batailles minimum [SB]";"Battaglie minime [SB]";"Mindestanzahl Schlachten [SB]";"Mínimo de batallas [SB]";"Минимальное число боёв [СБ]";"Minimum rozegranych bitew [SB]";"Mínimo de batalhas [SB]";"Asgari Savaşlar [SB]";"최소 전투 수 [SB]";"任\t务\t完\t成\t数\t（全\t真）";"ミニマムバトル[SB]";"任\t務\t完\t成\t數\t（全\t真）";;
"clan/autoAcceptMembershipOn";"Auto-accept membership applications";"Accepter les demandes d'adhésion automatiquement";"Accetta automaticamente le domande di adesione";"Bewerbungen automatisch akzeptieren";"Aceptar solicitudes de membresía automáticamente";"Автоматически принимать заявки";"Akceptuj wnioski o członkostwo automatycznie";"Aceitar automaticamente as aplicações de membro";"Üyelik başvurularını otomatikman kabul et";"전입 자동 수락";"自\t动\t通\t过\t所\t有\t入\t队\t申\t请。";"入隊自動承認";"自\t動\t通\t過\t所\t有\t入\t隊\t申\t請。";;
"clan/autoAcceptMembershipOff";"Auto-filter membership applications, accept manually";"Filtrer automatiquement les demandes d'adhésion, accepter manuellement";"Filtra automaticamente le domande di adesione, accettazione manuale";"Bewerbungen manuell akzeptieren";"Auto-filtrar solicitudes de membresía, aceptar manualmente";"Автоматически фильтровать заявки, принимать вручную";"Filtruj wnioski automatycznie, akceptuj ręcznie";"Filtro automático para pedidos de adesão, admissão manual";"Üyelik başvurularını otomatikman filtrele, manuel olarak kabul et";"전입 자동 필터링, 수동 수락";"自\t动\t过\t滤\t入\t队\t申\t请，\t但\t须\t手\t动\t通\t过。";"入隊手動承認";"自\t動\t過\t濾\t入\t隊\t申\t請，\t但\t須\t手\t動\t審\t核。";;
"clan/autoAcceptMembershipTooltip";"All membership applications meeting these conditions will be auto-accepted.";"Toutes les demandes d'adhésion remplissant ces conditions seront acceptées automatiquement.";"Tutte le domande di adesione che soddisfano queste condizioni saranno accettate automaticamente.";"Alle Bewerbungen auf Mitgliedschaft, die die Anforderungen erfüllen, werden automatisch akzeptiert.";"Todas las solicitudes de membresía que cumplan estas condiciones serán aceptadas automáticamente.";"Все кандидаты, удовлетворяющие условиям вступления, будут приняты автоматически.";"Wszystkie wnioski o członkostwo spełniające ustalone wymaganie będą automatycznie akceptowane.";"Todos os pedidos de adesão que cumpram estas condições serão aceitos automaticamente.";"Koşullara uyan tüm üyelik başvuruları otomatik olarak kabul edilecektir.";"조건을 만족하는 지원자는 자동으로 전입 수락됩니다.";"自\t动\t通\t过\t满\t足\t过\t滤\t条\t件\t的\t所\t有\t入\t队\t申\t请。";"条件が\t満たされていると\t自動的に\t承認する。";"自\t動\t通\t過\t滿\t足\t篩\t選\t條\t件\t的\t會\t員\t申\t請";;
"clan/noAutoAcceptMembershipTooltip";"All membership applications not meeting these conditions will be auto-rejected.";"Toutes les demandes d'adhésion remplissant ces conditions seront rejetées automatiquement.";"Tutte le domande di adesione che non soddisfano queste condizioni saranno respinte automaticamente.";"Alle Bewerbungen auf Mitgliedschaft, die die Anforderungen NICHT erfüllen, werden automatisch abgelehnt.";"Todas las solicitudes de membresía que no cumplan estas condiciones serán rechazadas automáticamente.";"Всем кандидатам, не удовлетворяющим условиям вступления, будет отказано автоматически.";"Wnioski o członkostwo graczy nie spełniających tych wymagań będą automatycznie odrzucane.";"Todos os pedidos de adesão que não cumpram estas condições serão automaticamente rejeitadas.";"Koşullara uymayan tüm üyelik başvuruları otomatik olarak red edilecektir.";"조건에 맞지 않는 신청자는 자동으로 탈락됩니다.";"自\t动\t拒\t绝\t不\t满\t足\t过\t滤\t条\t件\t的\t所\t有\t入\t队\t申\t请。";"条件を\t満たさない\t入隊希望者は\t自動的に\t拒否されます。";"自\t動\t拒\t絕\t不\t符\t合\t篩\t選\t條\t件\t的\t會\t員\t申\t請";;
"clan/btnSaveMembershipRequirements";"Save";"Sauver";"Salva";"Speichern";"Guardar";"Применить изменения";"Zapisz";"Guardar";"Kaydet";"저장";"保\t存";"保存";"儲\t存";;
"clan/btnChangeMembershipRequirements";"Membership Requirements";"Conditions d'adhésion";"Requisiti per l'iscrizione";"Mitgliedschaftsanforderungen";"Requisitos de Membresía";"Условия вступления";"Wymagania członkostwa";"Requerimentos de adesão";"Üyelik Gereksinimleri";"대원 요구사항";"设\t置\t队\t员\t要\t求";"入隊条件";"設\t置\t隊\t員\t要\t求";;
"clan/membRequirementsRankAny";"Any";"N'importe lequel";"Tutte";"Beliebig";"Cualquiera";"Любой";"Dowolny";"Qualquer";"Herhangi biri";"모두";"任\t意";"どれでも";"任\t意";;
"clan/membRequirementsBattlesAny";"Any";"N'importe lequel";"Tutte";"Beliebig";"Cualquiera";"Любой";"Dowolny";"Qualquer";"Herhangi biri";"모두";"任\t意";"どれでも";"任\t意";;
"clan/rankReqInfoCondType_and";"and";"et";"e";"und";"y";"и";"i";"e";"ve";"그리고";"与";"と";"和";;
"clan/rankReqInfoCondType_or";"or";"ou";"o";"oder";"o";"или";"lub";"ou";"veya";"또는";"或";"または";"或";;
"clan/rankReqInfoHead";"Ranks Required";"Rang requis";"Ere Richieste";"Erforderliche Ränge";"Rango requerido";"Требуются ранги";"Wymagana era";"Patentes requisitadas ";"Gerekli Rütbeler";"요구 랭크:";"等\t级\t要\t求";"必要\tランク";"等\t級\t要\t求";;
"clan/rankReqInfoRankAircraft";"Aerial";"Aérien";"Aviazione";"Luft";"Aéreo";"Авиация";"Jednostki powietrzne";"Aéreo";"Hava";"공중";"空\t战";"航空機";"空\t戰";;
"clan/rankReqInfoRankTank";"Ground";"Terrestre";"Esercito";"Land";"Terrestre";"Наземка";"Jednostki naziemne";"Terrestre";"Kara";"지상";"陆\t战";"戦車";"陸\t戰";;
"clan/battlesReqInfoHead";"Battles Required";"Batailles requises";"Battaglie Richieste";"Erforderliche Schlachten";"Batalles requeridas";"Требуется боёв";"Wymagane rozegrane bitwy";"Batalhas necessárias";"Gerekli Muharebeler";"요구 전투 횟수:";"任\t务\t完\t成\t数";"必要勝利数";"任\t務\t完\t成\t數";;
"clan/battlesReqInfoCondType_and";"and";"et";"e";"und";"y";"и";"i";"e";"ve";"그리고";"与";"と";"和";;
"clan/battlesReqInfoMode_arcade";"in [AB]";"en [AB]";"in [AB]";"in [AB]";"en [AB]";"в АБ";"w [AB]";"em [AB]";"[AB] içinde";"아케이드";"（街\t机）";"[AB]";"（街\t機）";;
"clan/battlesReqInfoMode_historical";"in [RB]";"en [RB]";"in [RB]";"in [RB]";"en [RB]";"в РБ";"w [RB]";"em [RB]";"[RB] içinde";"리얼리스틱";"（历\t史）";"[RB]";"（歷\t史）";;
"clan/battlesReqInfoMode_simulation";"in [SB]";"en [SB]";"in [SB]";"in [SB]";"en [SB]";"в СБ";"w [SB]";"em [SB]";"[SB] içinde";"시뮬레이터";"（全\t真）";"[SB]";"（全\t真）";;
"clan/myClanDataNotLoaded";"Your squadron data is not loaded";"Les données de votre escadron ne sont pas encore chargées";"I dati della tua squadriglia non sono stati caricati";"Deine Kampfgruppen-Informationen wurden noch nicht geladen";"Los datos de tu Escuadrón no están cargados";"Данные о вашем полке еще не загружены";"Informacje na temat Twojego Dywizjonu nie zostały jeszcze wczytane";"Os dados do seu esquadrão já não estão carregados";"Filo verileriniz henüz yüklenmedi";"당신의 비행대 정보가 아직 불러와지지 않았습니다.";"联\t队\t数\t据\t尚\t未\t载\t入";"部隊の\t記録はまだ\t読み\t込まれていません。";"聯\t隊\t資\t訊\t還\t沒\t有\t載\t入";;
